T3 교통량,T5 교통량,T4
4407,6635,2228
273,411,138
4727,6710,1983
258,410,152
5005,6674,1669
306,441,135
4944,6891,1947
231,388,157
4476,5516,1040
249,380,131
3650,4768,1118
190,332,142
2992,4003,1011
157,270,113
3213,4124,911
2426,3132,706
1443,1977,534
870,1281,411
634,886,252
411,652,241
400,615,215
478,717,239
919,1346,427
1741,2529,788
2407,3473,1066
198,339,141
2844,4248,1404
161,268,107
3592,5383,1791
190,299,109
3959,5855,1896
193,337,144
4595,6621,2026
203,299,96
4279,5956,1677
191,328,137
4778,6262,1484
208,330,122
4824,6439,1615
236,341,105
5090,6783,1693
248,351,103
4678,6583,1905
240,423,183
4590,6376,1786
211,363,152
4242,5697,1455
230,369,139
4206,5576,1370
274,448,174
4445,5945,1500
217,404,187
4703,5635,932
3675,3088,-587
2128,2006,-122
1595,1460,-135
1094,1064,-30
773,726,-47
683,700,17
809,810,1
1771,1730,-41
2655,2643,-12
3078,2898,-180
325,334,9
3364,3293,-71
266,259,-7
3969,3895,-74
262,252,-10
4428,4468,40
256,245,-11
4725,4473,-252
229,208,-21
4734,4276,-458
249,215,-34
4525,4244,-281
232,227,-5
4685,4380,-305
315,266,-49
4434,4277,-157
365,338,-27
4919,4729,-190
425,403,-22
4629,4188,-441
309,302,-7
4645,3672,-973
361,329,-32
4665,3580,-1085
362,335,-27
4385,3447,-938
268,247,-21
5136,4230,-906
4265,3788,-477
2681,2988,307
1577,1872,295
1017,1262,245
760,922,162
912,919,7
2051,1823,-228
5022,4391,-631
6391,6074,-317
5534,5228,-306
588,702,114
5073,5334,261
415,464,49
5141,5247,106
308,298,-10
5145,5412,267
333,293,-40
4559,4801,242
233,262,29
4193,4170,-23
266,218,-48
4651,4752,101
204,193,-11
4693,4653,-40
246,223,-23
4660,4530,-130
234,214,-20
4709,4502,-207
231,224,-7
4587,4556,-31
218,238,20
4161,3410,-751
213,245,32
3906,2736,-1170
244,250,6
3502,2723,-779
199,211,12
2951,2542,-409
2396,2203,-193
1769,1607,-162
1346,1447,101
944,1093,149
753,869,116
823,975,152
1187,1426,239
3020,3078,58
5460,5125,-335
5581,5526,-55
434,519,85
5098,5407,309
350,364,14
4998,5444,446
277,292,15
4429,4348,-81
262,249,-13
4268,4257,-11
283,282,-1
4429,4756,327
214,218,4
4622,4274,-348
234,223,-11
4427,4325,-102
242,224,-18
4437,4237,-200
228,208,-20
4490,4218,-272
241,229,-12
4430,4465,35
220,231,11
4399,3480,-919
230,248,18
3835,2792,-1043
249,248,-1
3508,2751,-757
201,213,12
3167,2737,-430
2407,2237,-170
1730,1638,-92
1332,1308,-24
974,1045,71
747,834,87
755,800,45
1140,1216,76
2888,2693,-195
5431,4806,-625
5522,5496,-26
471,520,49
5296,5735,439
306,350,44
5165,5435,270
288,278,-10
4832,4873,41
269,265,-4
4928,4979,51
256,263,7
4705,4561,-144
200,191,-9
4720,4616,-104
213,191,-22
4589,4610,21
228,213,-15
4471,4544,73
216,209,-7
4509,4359,-150
224,227,3
4609,4605,-4
245,234,-11
4372,3420,-952
256,259,3
3905,2728,-1177
259,272,13
3625,2854,-771
204,227,23
3118,2687,-431
2527,2285,-242
1960,1725,-235
1407,1334,-73
969,1010,41
814,856,42
789,812,23
1149,1199,50
2835,2664,-171
5295,4837,-458
