교통량,평균속도,0010CZS420
520,100.72,
5735,77.9,
350,102.41,
5435,67.58,
278,98.69,
4873,43.82,
265,96.65,
4979,73.82,
263,102.88,
4561,79.36,
191,105.27,
4616,81.15,
191,106.06,
4610,81.71,
213,106.56,
4544,81.34,
209,105.27,
4359,81.1,
227,104.91,
4605,77.86,
234,101.82,
3420,81.08,
259,102.71,
2728,84.01,
272,104.21,
2854,83.46,
227,106.07,
2687,88.58,
2285,90.32,
1725,89.55,
1334,90.13,
1010,88.9,
856,87.59,
812,86.51,
1199,89.29,
2664,89.69,
4837,83.13,
5645,66.07,
587,96.43,
5163,59.45,
389,96.62,
5317,70.88,
295,98.56,
5119,55.21,
293,96.3,
5185,72.24,
284,99.68,
4943,73.1,
220,101.54,
4982,77.23,
227,103.5,
4268,81.94,
213,104.56,
4691,77.96,
218,102.72,
4619,78.2,
236,104.39,
4391,78.3,
246,102.09,
3382,82.25,
276,102.78,
2817,85.02,
269,102.49,
2814,83.56,
197,104.14,
2892,88.68,
2319,89.64,
1776,90.45,
1467,90.65,
1105,89.77,
856,89.03,
816,88.51,
1260,90.87,
2786,89.76,
4793,82.18,
5386,74.5,
555,99.06,
5075,68.91,
374,98.79,
5207,74.58,
289,101.04,
5316,73.63,
289,99.1,
5108,65.98,
281,99.13,
4995,69.5,
254,100.44,
4980,76.05,
264,102.35,
5015,75.41,
259,100.87,
5107,72.95,
289,99.18,
5042,49.63,
336,93.99,
4840,75.32,
335,100.35,
4184,77.44,
362,100.68,
3634,81.01,
389,100.45,
3499,80.18,
374,99.86,
4104,84.67,
3239,87.24,
2569,89.45,
1889,91.16,
1435,90.7,
1102,90.44,
1097,90.44,
1655,91.41,
3349,87.04,
5280,77.11,
4703,44,
794,79.72,
4982,38.22,
625,87.24,
4404,39.36,
528,88.24,
4533,43.92,
445,93.06,
4691,76.69,
358,101.3,
4901,76.68,
360,101.06,
4772,78.62,
337,101.21,
5068,77.12,
336,100.8,
4617,78.88,
349,101.91,
4914,77.45,
357,102.22,
4602,76.98,
342,102.42,
3942,78.15,
319,99.55,
3499,79.77,
287,102.02,
3081,81.99,
247,102.74,
3244,87.05,
2676,88.43,
1872,92.1,
1288,93,
932,94.07,
661,92.98,
682,92.42,
864,93.64,
1892,91.85,
3070,89.02,
3536,84.69,
393,103.58,
3892,83.22,
290,102.7,
4517,79.4,
278,101.28,
4871,78.22,
260,102.88,
4758,77.37,
220,101.3,
4420,81.08,
212,103.4,
4545,80.79,
230,103.71,
4754,79.7,
277,102.57,
4686,80.84,
318,102.49,
4685,80.12,
322,101.49,
4654,77.05,
282,97.79,
3977,78.32,
337,99.44,
3989,79.53,
354,100.38,
4068,78.65,
278,101.82,
4666,83.14,
3973,86,
2621,89.59,
1661,90.79,
1051,90.43,
789,88.52,
1002,90.05,
2039,91.99,
4587,85.61,
6339,77.94,
5506,45.63,
693,89.22,
5263,37.24,
508,89.73,
5275,67.64,
322,98.84,
5415,71.19,
257,101,
5047,75.51,
247,101.84,
4556,45.91,
235,97.78,
4505,80.36,
217,102.05,
4638,79.51,
251,102.59,
4685,78.52,
201,103.08,
4648,78.45,
228,104.22,
4290,79.27,
241,102.3,
3469,81.34,
250,101.44,
2823,84.57,
272,103.47,
2745,85.53,
210,103.88,
2768,89.2,
2184,89.23,
1760,89.79,
1298,88.87,
1026,88.48,
841,86.69,
829,86.94,
1249,89.13,
2785,89.31,
4946,82.31,
5558,76.92,
540,99.7,
4921,80.63,
339,102.24,
4837,69.09,
287,99.36,
5459,69.37,
250,101.01,
4952,69.45,
294,99.63,
4641,41.99,
242,96.04,
4510,78.85,
224,104.72,
4455,81.98,
204,104.16,
4622,80.99,
208,104.77,
4588,80.07,
241,104.19,
4541,79.06,
256,102.74,
3507,81.11,
255,103.74,
2827,83.45,
267,104.85,
2677,84.63,
194,105.99,
2821,89.26,
2254,89.87,
1768,89.94,
1294,89.3,
1053,87.92,
890,88.65,
816,87.98,
1212,89.42,
2642,89.27,
4666,83.14,
5369,72.93,
528,99.01,
5082,58.53,
385,97.32,
5337,75.02,
276,100.31,
5461,68.71,
257,99.12,
5082,74.82,
231,102.14,
4958,76.8,
237,104.62,
4778,78.99,
234,104.51,
4697,80.86,
217,104.43,
4497,80.87,
222,102.48,
4573,80.66,
226,104.68,
4587,78.14,
254,102.19,
3373,80.28,
233,104.47,
2699,84.72,
268,105.52,
2693,84.93,
212,103.26,
2838,89.19,
2365,90.16,
1963,90.03,
1425,89.28,
1073,87.98,
822,87.93,
826,89.31,
1185,89.79,
2759,89.93,
4888,82.32,
5477,69.19,
568,95.58,
5226,62.52,
377,97.78,
5437,71.46,
301,97.64,
5402,47.92,
296,96.83,
5236,57.07,
315,98.3,
5128,43.75,
266,98.37,
4880,76.91,
229,102.84,
4879,78.06,
222,106.02,
4529,80.63,
209,102.88,
4541,80.16,
246,103.77,
4291,80.24,
281,100.85,
3523,80.11,
268,101.27,
2900,84.15,
276,105.98,
2799,83.15,
218,103.52,
2847,88.11,
2442,90.4,
2088,89.87,
1460,89.82,
1101,88.92,
888,87.98,
815,88.36,
1294,90.12,
2856,89.35,
4914,82.24,
5408,76.36,
570,98.6,
5111,77.44,
358,100.39,
5205,68.48,
304,98.78,
3625,71.42,
298,99.91,
5094,54.53,
290,96.36,
4591,75.53,
267,101.63,
4717,68.29,
329,100.72,
4256,34.66,
322,92.09,
5134,44.57,
322,94.9,
5151,43.8,
351,95.79,
5280,47.4,
385,95.3,
4139,74.58,
337,101.84,
3540,79.15,
