교통량,평균속도
166,94.91
197,95.19
427,96.29
821,97.85
843,95.35
1002,93.33
1707,90.06
2497,83.04
2825,79.55
3108,77.79
3142,80.14
3370,75.05
3607,61.74
3632,71.05
3192,79.7
2826,85.53
2315,89
2395,88.42
2223,91.26
1831,94.79
953,97.63
501,101.09
292,100.9
209,101.51
174,94.62
356,96.12
1413,94.07
3859,71.73
3936,36.67
3387,56.05
3600,75.57
3695,72.08
3280,77.45
3203,76.91
3103,78.53
2954,79.8
3335,75.16
3869,59.55
3967,43
3537,29.07
3508,40.94
3079,81.78
1978,85
2635,90.44
1398,102.13
813,106.39
456,103.97
311,107.74
218,98.28
339,98.56
1148,96.35
3091,85.58
