교통량,평균속도,0010CZS440
787,106.09,
779,105.49,
966,105.58,
2357,103.97,
3789,97.26,
3907,90.95,
428,103.17,
4273,90.23,
336,101,
5160,86.4,
366,92.64,
5487,83.53,
368,93.73,
5584,77.12,
371,95.57,
5373,78.43,
334,96.54,
5572,81.78,
364,97.73,
5383,76.39,
399,95.17,
5262,50.69,
683,67.99,
5335,75.85,
618,91.98,
5305,74.96,
466,96.67,
5109,76.88,
494,97.62,
5046,79.39,
458,100.44,
5162,78.79,
425,100.72,
5738,88.01,
4932,92.5,
3070,102.01,
1874,103.53,
1129,103.57,
843,100.84,
1040,101.12,
2293,103.12,
5748,85.58,
6869,55.12,
5873,46.24,
875,79.41,
6014,46.82,
657,86.96,
5854,53.1,
494,86.04,
5657,41.52,
490,86.03,
5568,41,
441,88.87,
5103,71.65,
350,90.65,
5286,79.33,
383,96.04,
5331,77.6,
415,97.94,
5335,78.32,
339,98.48,
5206,79.04,
355,98.44,
4930,77.59,
339,98.46,
4871,79.43,
407,100.12,
4338,82.51,
451,99.82,
4012,86.1,
366,102.09,
3717,95.06,
2862,97.81,
2196,99.88,
1549,100.23,
1169,98.84,
894,97.13,
846,95.91,
1420,97.66,
3681,95.47,
6430,73.84,
6042,53.13,
794,88.25,
6079,47.62,
545,89.34,
5673,78.7,
433,85.51,
5807,47.41,
476,84.69,
5561,39.74,
515,86.53,
5236,70.94,
390,89.57,
5193,81,
355,93.41,
5173,80.84,
331,93.79,
5281,78.47,
671,88.37,
5135,79.81,
440,94.5,
5123,78.21,
330,98.65,
4898,81.12,
399,101.14,
4426,81.68,
480,98.91,
4020,86.09,
372,101.01,
3884,94.18,
3031,97.29,
2233,101.2,
1716,99.79,
1205,100.22,
975,99.41,
896,98.19,
1327,97.64,
3736,95.08,
6343,74.37,
5916,43.12,
795,84.37,
6057,43.06,
560,90.52,
5931,42.46,
456,84.8,
5778,42.14,
473,85.8,
5709,51.95,
453,87.45,
5174,65.36,
386,92.03,
5397,78.27,
396,91.28,
5272,80.29,
348,91.81,
5130,79.15,
556,90.06,
5147,79.66,
355,97.99,
5098,78.92,
363,98.25,
4810,80.48,
394,99.61,
4463,82.11,
463,101.14,
3963,85.2,
390,100.48,
3874,94.63,
3314,96.88,
2581,100.34,
1876,101.02,
1293,100.85,
922,98.83,
912,97.77,
1297,97.9,
3799,95.19,
6440,76.52,
5857,43.92,
819,79.74,
5887,61.25,
529,93.47,
5912,41.68,
499,85.63,
5765,40.28,
513,85,
5534,39.77,
498,88.28,
5376,50.39,
419,87.15,
5517,77.44,
358,87.11,
5464,78.23,
393,95.64,
5272,78.9,
336,96.57,
5188,77.37,
391,97.23,
5113,79.74,
398,98.11,
4950,79.63,
458,100.38,
4543,82.89,
462,100.5,
4075,85.95,
354,101.36,
3945,93.77,
3277,96.44,
2770,99.12,
1828,101.07,
1262,99.77,
993,98.89,
906,97.81,
1437,97.4,
3792,95.68,
6454,73.3,
5863,54.46,
829,82.35,
5821,41.72,
548,92.06,
5565,40.54,
470,91.83,
4628,28.12,
452,88.12,
5187,41.61,
396,91.58,
5018,39.37,
448,83.96,
4831,52.67,
409,96.14,
5315,57.5,
495,92.73,
5239,53.19,
426,94.78,
5407,77.01,
438,96.78,
5279,73.73,
443,97.83,
5405,68.83,
452,98.56,
5128,76.84,
597,98.37,
5067,77.35,
593,95.14,
5106,88.57,
4418,92.8,
3529,97.41,
2532,101.08,
1718,103.24,
1301,103.28,
1208,101.63,
1934,101.12,
4294,95.05,
6423,80.76,
5492,67.81,
843,88.73,
5085,83.77,
639,95.35,
5440,81,
602,93.77,
5283,80.1,
567,92.03,
5511,46.03,
578,90.17,
5231,75.07,
469,90.24,
5269,82.03,
489,91.54,
5593,72.55,
484,94.47,
5186,79,
456,100.49,
5210,59.99,
471,97.33,
5329,49.8,
517,92.26,
5195,75.75,
545,100.3,
4801,79.66,
466,100.37,
4553,77.5,
411,98.57,
4523,93.65,
3799,96.29,
2571,101.86,
1737,104.95,
1202,107.15,
825,106.06,
816,104.53,
998,104.53,
2428,103.32,
3861,97.67,
3861,89.87,
411,101.8,
4154,89.4,
330,100.14,
4812,88.42,
397,98.58,
5730,80.93,
388,94.82,
5343,82.89,
380,95.82,
5244,85.08,
363,96.54,
5278,77.17,
385,100.46,
5315,74.42,
448,96.86,
5050,37.38,
470,95.44,
5201,55.46,
531,95.94,
5070,78.4,
440,98.92,
4972,79.07,
511,99.28,
4989,79.84,
489,100.31,
4992,79.81,
428,102.03,
5760,88.76,
5010,93.23,
3052,101.42,
1774,104.45,
1227,103.26,
848,102.85,
1062,101.6,
2287,102.94,
5727,84.77,
6956,56.42,
5762,44.54,
905,78.57,
5809,44.39,
609,90.43,
5665,41.6,
495,91.44,
5610,38.86,
504,87.96,
5332,36.03,
472,85.15,
4994,74.78,
364,94.6,
5354,79.74,
374,95.73,
5394,74.96,
337,96.87,
5069,82.67,
332,100.18,
5060,57.4,
415,95.06,
4831,79.3,
319,99.65,
4943,80.83,
417,99.84,
4437,84.07,
446,101.23,
3999,86.55,
397,101.61,
3746,95.01,
2979,97.79,
2231,98.25,
1568,98.93,
1114,99.01,
949,97.43,
872,96.87,
1376,98.2,
3888,95.45,
6340,75.46,
5802,42.49,
819,81.08,
5837,41.88,
515,92.61,
5521,40.01,
494,92.17,
5539,42.81,
465,89.03,
5309,74.28,
411,94.71,
5128,77.44,
354,96.2,
5162,77.3,
357,97.78,
5018,78.73,
347,98.31,
4942,79.23,
350,98.79,
4962,77.87,
368,95.64,
4831,78.83,
360,99.07,
4746,81.36,
439,100.24,
4485,82.29,
454,100.16,
3771,88.29,
398,101.99,
3858,92.36,
3087,97.51,
2358,95.29,
1811,92.98,
1232,89.21,
953,93.56,
889,92.67,
1243,92.12,
3469,92.68,
6032,75.59,
5713,43.22,
783,82.91,
5802,41.86,
517,91.65,
5566,40.47,
413,91.66,
5543,41.38,
441,90.18,
5428,39.94,
432,89.9,
5205,65.79,
330,95.7,
4904,80.94,
333,98.29,
5092,77.46,
334,96.66,
